127.0.0.1 - - [30/Jan/2020:14:49:31 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [30/Jan/2020:14:49:34 +0900] "GET /mavenweb/MainServlet HTTP/1.1" 200 6016
0:0:0:0:0:0:0:1 - - [30/Jan/2020:14:49:34 +0900] "GET /mavenweb/css/main.css HTTP/1.1" 200 1716
0:0:0:0:0:0:0:1 - - [30/Jan/2020:14:49:34 +0900] "GET /mavenweb/js/main.js HTTP/1.1" 200 3510
0:0:0:0:0:0:0:1 - - [30/Jan/2020:14:49:34 +0900] "GET /mavenweb/images/right_arrow.png HTTP/1.1" 200 4012
0:0:0:0:0:0:0:1 - - [30/Jan/2020:14:49:34 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [30/Jan/2020:14:49:49 +0900] "GET /mavenweb/TodoFormServlet HTTP/1.1" 200 1842
0:0:0:0:0:0:0:1 - - [30/Jan/2020:14:49:49 +0900] "GET /mavenweb/css/todoForm.css HTTP/1.1" 200 1707
0:0:0:0:0:0:0:1 - - [30/Jan/2020:14:50:13 +0900] "GET /mavenweb/MainServlet HTTP/1.1" 200 6016
0:0:0:0:0:0:0:1 - - [30/Jan/2020:14:53:30 +0900] "GET /mavenweb/MainServlet HTTP/1.1" 200 6016
0:0:0:0:0:0:0:1 - - [30/Jan/2020:14:53:32 +0900] "GET /mavenweb/TodoFormServlet HTTP/1.1" 200 1842
0:0:0:0:0:0:0:1 - - [30/Jan/2020:14:53:50 +0900] "GET /mavenweb/MainServlet HTTP/1.1" 200 6016
0:0:0:0:0:0:0:1 - - [30/Jan/2020:14:54:00 +0900] "GET /mavenweb/TodoFormServlet HTTP/1.1" 200 1842
0:0:0:0:0:0:0:1 - - [30/Jan/2020:14:54:06 +0900] "GET /mavenweb/MainServlet HTTP/1.1" 200 6016
0:0:0:0:0:0:0:1 - - [30/Jan/2020:14:54:34 +0900] "GET /mavenweb/MainServlet HTTP/1.1" 200 6016
